Times,MAIN_PNL_PX.1,MAIN_PNL_MX.1,MAIN_PNL_PY.1,MAIN_PNL_MY.1,MAIN_PNL_PZ.1,MAIN_PNL_MZ.1,MAIN_PNL_MY.20001
0.,20.,20.,20.,20.,20.,20.,20.
10.,19.96582,20.02463,19.9857,19.99399,20.36723,19.54397,1.371168
20.,19.93183,20.04865,19.97124,19.98784,20.72988,19.09657,1.411672
30.,19.89804,20.07207,19.95664,19.9816,21.08799,18.65761,1.452328
40.,19.86445,20.09492,19.94192,19.97527,21.44162,18.22688,1.492923
50.,19.83109,20.11721,19.92709,19.96887,21.79081,17.8042,1.533464
60.,19.79795,20.13896,19.91215,19.96242,22.13562,17.38937,1.573958
70.,19.76505,20.16019,19.89713,19.95592,22.47609,16.98223,1.61441
80.,19.73239,20.18091,19.88203,19.94938,22.81227,16.58259,1.654825
90.,19.69998,20.20114,19.86687,19.94282,23.14422,16.19029,1.695209
100.,19.66783,20.2209,19.85165,19.93624,23.47197,15.80515,1.735568
110.,19.63594,20.2402,19.83639,19.92966,23.79558,15.42703,1.775906
120.,19.60431,20.25905,19.82109,19.92308,24.1151,15.05576,1.816227
130.,19.57296,20.27748,19.80577,19.91651,24.43056,14.69119,1.856537
140.,19.54189,20.29548,19.79042,19.90995,24.74203,14.33318,1.896838
150.,19.5111,20.31308,19.77507,19.90343,25.04953,13.98157,1.937135
160.,19.48059,20.33029,19.75972,19.89693,25.35312,13.63624,1.977432
170.,19.45038,20.34713,19.74437,19.89048,25.65284,13.29704,2.017732
180.,19.42045,20.36359,19.72904,19.88407,25.94874,12.96385,2.058038
190.,19.39083,20.37969,19.71372,19.87771,26.24085,12.63653,2.098353
200.,19.3615,20.39545,19.69843,19.87141,26.52923,12.31495,2.138681
210.,19.33248,20.41087,19.68317,19.86517,26.81392,11.99901,2.179023
220.,19.30376,20.42597,19.66795,19.859,27.09495,11.68857,2.219383
230.,19.27535,20.44075,19.65277,19.85291,27.37238,11.38352,2.259763
240.,19.24724,20.45523,19.63764,19.84689,27.64623,11.08375,2.300165
250.,19.21945,20.4694,19.62256,19.84095,27.91657,10.78915,2.340592
260.,19.19196,20.48329,19.60753,19.8351,28.18341,10.49961,2.381045
270.,19.16479,20.4969,19.59257,19.82933,28.44682,10.21503,2.421525
280.,19.13793,20.51023,19.57767,19.82366,28.70681,9.935295,2.462036
290.,19.11138,20.5233,19.56284,19.81808,28.96345,9.660318,2.502578
300.,19.08515,20.53611,19.54808,19.8126,29.21676,9.389999,2.543152
310.,19.05923,20.54868,19.5334,19.80722,29.46678,9.124241,2.583761
320.,19.03363,20.561,19.51879,19.80195,29.71356,8.862953,2.624406
330.,19.00834,20.57308,19.50427,19.79678,29.95713,8.606045,2.665086
340.,18.98336,20.58493,19.48983,19.79172,30.19753,8.353427,2.705805
350.,18.9587,20.59656,19.47547,19.78677,30.4348,8.105015,2.746562
360.,18.93435,20.60798,19.4612,19.78193,30.66897,7.860723,2.787359
370.,18.91032,20.61918,19.44703,19.77721,30.90008,7.62047,2.828196
380.,18.88659,20.63017,19.43295,19.7726,31.12818,7.384175,2.869073
390.,18.86318,20.64097,19.41896,19.76811,31.35328,7.151761,2.909992
400.,18.84007,20.65157,19.40506,19.76373,31.57544,6.923151,2.950954
410.,18.81728,20.66198,19.39127,19.75947,31.79468,6.69827,2.991958
420.,18.79479,20.6722,19.37757,19.75534,32.01104,6.477044,3.033004
430.,18.77261,20.68224,19.36397,19.75132,32.22456,6.259403,3.074095
440.,18.75073,20.69211,19.35047,19.74742,32.43527,6.045277,3.115228
450.,18.72916,20.7018,19.33708,19.74365,32.6432,5.834597,3.156406
460.,18.70789,20.71133,19.32379,19.74,32.84839,5.627297,3.197627
470.,18.68692,20.72069,19.3106,19.73647,33.05088,5.423311,3.238892
480.,18.66625,20.72986,19.29751,19.73305,33.25069,5.222465,3.23335
490.,18.64587,20.73864,19.28454,19.72972,33.44787,5.024229,3.030233
500.,18.62579,20.74706,19.27166,19.72643,33.64246,4.828551,2.826692
