Times,MAIN_PNL_PX.1,MAIN_PNL_MX.1,MAIN_PNL_PY.1,MAIN_PNL_MY.1,MAIN_PNL_PZ.1,MAIN_PNL_MZ.1,MAIN_PNL_MY.20001
0.,20.,20.,20.,20.,20.,20.,20.
10.,19.96567,20.02066,19.98207,19.99223,20.36403,19.52007,-4.86737
20.,19.93146,20.04069,19.96398,19.98426,20.72344,19.04922,-4.813901
30.,19.8974,20.06011,19.94573,19.97615,21.07828,18.58723,-4.760251
40.,19.86347,20.07893,19.92734,19.96792,21.42862,18.13389,-4.706702
50.,19.82971,20.09717,19.90884,19.95958,21.77449,17.68901,-4.653247
60.,19.79611,20.11487,19.89022,19.95114,22.11595,17.25238,-4.599879
70.,19.76269,20.13202,19.87151,19.94261,22.45305,16.82382,-4.546589
80.,19.72945,20.14866,19.85272,19.93401,22.78584,16.40314,-4.493372
90.,19.69641,20.16479,19.83385,19.92535,23.11437,15.99016,-4.44022
100.,19.66358,20.18044,19.81493,19.91663,23.43869,15.58471,-4.387129
110.,19.63095,20.19562,19.79595,19.90787,23.75885,15.18661,-4.334091
120.,19.59853,20.21034,19.77693,19.89909,24.07489,14.7957,-4.281102
130.,19.56634,20.22462,19.75789,19.89028,24.38687,14.41183,-4.228156
140.,19.53438,20.23848,19.73882,19.88145,24.69482,14.03482,-4.175248
150.,19.50265,20.25192,19.71974,19.87262,24.9988,13.66455,-4.122374
160.,19.47117,20.26496,19.70065,19.8638,25.29886,13.30085,-4.069529
170.,19.43992,20.27762,19.68157,19.85498,25.59503,12.94358,-4.01671
180.,19.40893,20.2899,19.66251,19.84618,25.88737,12.5926,-3.963911
190.,19.37819,20.30182,19.64346,19.83741,26.17591,12.24779,-3.911129
200.,19.3477,20.31339,19.62443,19.82866,26.46071,11.909,-3.858361
210.,19.31748,20.32461,19.60544,19.81996,26.7418,11.5761,-3.805603
220.,19.28752,20.33551,19.58648,19.81129,27.01924,11.24898,-3.752852
230.,19.25782,20.34609,19.56757,19.80268,27.29305,10.92751,-3.700106
240.,19.22839,20.35635,19.54871,19.79411,27.56329,10.61157,-3.647361
250.,19.19924,20.36632,19.5299,19.78561,27.83,10.30104,-3.594614
260.,19.17036,20.37599,19.51115,19.77717,28.09322,9.995816,-3.541863
270.,19.14175,20.38539,19.49246,19.76879,28.35299,9.695783,-3.489107
280.,19.11342,20.3945,19.47384,19.76049,28.60935,9.400834,-3.436342
290.,19.08537,20.40336,19.45529,19.75226,28.86234,9.110866,-3.383567
300.,19.0576,20.41195,19.43682,19.7441,29.112,8.825775,-3.330779
310.,19.03011,20.42029,19.41842,19.73603,29.35837,8.545463,-3.277978
320.,19.0029,20.42839,19.40011,19.72805,29.6015,8.269833,-3.22516
330.,18.97597,20.43626,19.38188,19.72015,29.84141,7.998788,-3.172326
340.,18.94932,20.44389,19.36374,19.71234,30.07816,7.732238,-3.119473
