Times,MAIN_PNL_PX.1,MAIN_PNL_MX.1,MAIN_PNL_PY.1,MAIN_PNL_MY.1,MAIN_PNL_PZ.1,MAIN_PNL_MZ.1,MAIN_PNL_MY.20001
0.,20.,20.,20.,20.,20.,20.,20.
10.,19.96554,19.98365,19.97133,19.98757,20.36431,19.43849,-23.72971
20.,19.93095,19.96695,19.94245,19.97471,20.72373,18.88777,-23.73845
30.,19.89625,19.94991,19.91339,19.9615,21.07832,18.34757,-23.74742
40.,19.86147,19.93255,19.88417,19.94797,21.42814,17.81765,-23.75662
50.,19.8266,19.9149,19.85481,19.93413,21.77324,17.29775,-23.76604
60.,19.79169,19.89697,19.82531,19.92001,22.11369,16.78765,-23.77565
70.,19.75673,19.87879,19.79571,19.90561,22.44954,16.2871,-23.78546
80.,19.72174,19.86036,19.76601,19.89096,22.78085,15.79588,-23.79543
90.,19.68674,19.84171,19.73623,19.87608,23.10767,15.31379,-23.80557
100.,19.65174,19.82285,19.70639,19.86097,23.43006,14.8406,-23.81587
110.,19.61675,19.8038,19.67649,19.84566,23.74808,14.37611,-23.82631
120.,19.58179,19.78457,19.64656,19.83016,24.06176,13.92012,-23.83687
130.,19.54686,19.76518,19.61659,19.81448,24.37118,13.47245,-23.84757
140.,19.51198,19.74564,19.58661,19.79864,24.67638,13.0329,-23.85837
150.,19.47716,19.72596,19.55663,19.78265,24.97741,12.6013,-23.86928
160.,19.4424,19.70615,19.52665,19.76651,25.27432,12.17747,-23.88029
170.,19.40772,19.68623,19.49669,19.75025,25.56717,11.76123,-23.89138
180.,19.37313,19.66621,19.46675,19.73388,25.856,11.35242,-23.90256
190.,19.33862,19.64609,19.43685,19.71739,26.14087,10.95088,-23.9138
200.,19.30422,19.6259,19.407,19.70082,26.42182,10.55645,-23.92512
210.,19.26993,19.60563,19.37719,19.68415,26.6989,10.16898,-23.93649
220.,19.23575,19.5853,19.34745,19.66741,26.97216,9.788326,-23.94792
230.,19.20169,19.56492,19.31777,19.6506,27.24164,9.414334,-23.95939
240.,19.16776,19.54449,19.28816,19.63373,27.5074,9.046866,-23.97091
250.,19.13397,19.52402,19.25864,19.61681,27.76947,8.685787,-23.98246
260.,19.10031,19.50353,19.2292,19.59984,28.02791,8.330962,-23.99404
270.,19.0668,19.48301,19.19986,19.58284,28.28276,7.982262,-24.00565
280.,19.03344,19.46248,19.17061,19.56581,28.53407,7.639561,-24.01728
290.,19.00023,19.44195,19.14147,19.54875,28.78187,7.302734,-24.02892
300.,18.96718,19.42141,19.11244,19.53168,29.02622,6.971663,-24.04057
310.,18.9343,19.40087,19.08352,19.5146,29.26715,6.64623,-24.05224
320.,18.90158,19.38035,19.05472,19.49751,29.50471,6.326321,-24.0639
330.,18.86903,19.35984,19.02605,19.48042,29.73895,6.011825,-24.07557
340.,18.83666,19.33936,18.99749,19.46333,29.96989,5.702633,-24.08723
350.,18.80446,19.3189,18.96907,19.44626,30.19759,5.39864,-24.09888
360.,18.77244,19.29847,18.94078,19.4292,30.42209,5.099743,-24.11052
370.,18.7406,19.27808,18.91263,19.41216,30.64342,4.805842,-24.12215
380.,18.70894,19.25773,18.88462,19.39515,30.86163,4.516837,-24.13376
390.,18.67748,19.23743,18.85675,19.37816,31.07675,4.232634,-24.14535
400.,18.6462,19.21717,18.82903,19.36121,31.28883,3.953138,-24.15692
410.,18.61511,19.19696,18.80146,19.34429,31.4979,3.678259,-24.16846
420.,18.58421,19.17681,18.77403,19.3274,31.70401,3.407908,-24.17998
430.,18.55351,19.15672,18.74676,19.31056,31.90718,3.141997,-24.19146
440.,18.523,19.13669,18.71964,19.29377,32.10746,2.880442,-24.20292
450.,18.49269,19.11673,18.69267,19.27702,32.30489,2.62316,-24.21434
460.,18.46258,19.09684,18.66587,19.26033,32.4995,2.370069,-24.22572
470.,18.43266,19.07701,18.63922,19.24368,32.69133,2.12109,-24.23707
480.,18.40295,19.05726,18.61274,19.2271,32.88041,1.876147,-24.2484
490.,18.37343,19.03758,18.58641,19.21057,33.06678,1.635162,-24.25975
500.,18.34412,19.01798,18.56025,19.1941,33.25047,1.398063,-24.27106
510.,18.315,18.99846,18.53425,19.17769,33.43152,1.164777,-24.28233
520.,18.28609,18.97903,18.50841,19.16135,33.60995,0.9352338,-24.29355
530.,18.25738,18.95967,18.48273,19.14507,33.78581,0.7093636,-24.30473
540.,18.22887,18.9404,18.45723,19.12886,33.95913,0.487099,-24.31586
550.,18.20056,18.92122,18.43188,19.11272,34.12994,0.268374,-24.32694
560.,18.17245,18.90212,18.40671,19.09665,34.29828,0.05312386,-24.33797
570.,18.14455,18.88312,18.3817,19.08065,34.46417,-0.1587146,-24.34895
580.,18.11684,18.8642,18.35686,19.06473,34.62765,-0.3672034,-24.35988
590.,18.08934,18.84538,18.33218,19.04888,34.78876,-0.5724029,-24.37076
600.,18.06204,18.82665,18.30767,19.0331,34.94751,-0.7743727,-24.38159
610.,18.03493,18.80802,18.28333,19.0174,35.10395,-0.9731705,-24.39236
620.,18.00803,18.78948,18.25915,19.00177,35.2581,-1.168853,-24.40308
630.,17.98133,18.77103,18.23514,18.98623,35.41,-1.361477,-24.41374
640.,17.95483,18.75268,18.2113,18.97076,35.55967,-1.551095,-24.42435
650.,17.92852,18.73443,18.18762,18.95537,35.70715,-1.737762,-24.43491
