Times,MAIN_PNL_PX.1,MAIN_PNL_MX.1,MAIN_PNL_PY.1,MAIN_PNL_MY.1,MAIN_PNL_PZ.1,MAIN_PNL_MZ.1,MAIN_PNL_MY.20001
0.,20.,20.,20.,20.,20.,20.,20.
10.,19.96552,19.9831,19.97049,19.98727,20.36121,19.42213,-25.0302
20.,19.93087,19.96581,19.94075,19.97408,20.71754,18.85535,-25.03966
30.,19.89607,19.94815,19.9108,19.9605,21.06902,18.29937,-25.0494
40.,19.86115,19.93015,19.88065,19.94656,21.41574,17.75393,-25.05939
50.,19.82612,19.91182,19.85034,19.93228,21.75775,17.21878,-25.06962
60.,19.79099,19.89319,19.81987,19.91768,22.0951,16.69368,-25.08008
70.,19.75579,19.87427,19.78926,19.90278,22.42785,16.17838,-25.09075
80.,19.72052,19.85508,19.75854,19.8876,22.75606,15.67266,-25.10162
90.,19.68521,19.83564,19.72771,19.87215,23.07979,15.17629,-25.11268
100.,19.64987,19.81597,19.69679,19.85644,23.39909,14.68905,-25.12391
110.,19.61451,19.79608,19.6658,19.84051,23.71402,14.21074,-25.13531
120.,19.57914,19.77598,19.63474,19.82435,24.02462,13.74114,-25.14687
130.,19.54378,19.7557,19.60363,19.808,24.33096,13.28006,-25.15857
140.,19.50843,19.73525,19.57249,19.79145,24.63309,12.82731,-25.1704
150.,19.47311,19.71463,19.54133,19.77472,24.93106,12.3827,-25.18236
160.,19.43783,19.69387,19.51014,19.75783,25.22491,11.94606,-25.19443
170.,19.4026,19.67297,19.47896,19.74078,25.51471,11.51719,-25.20661
180.,19.36743,19.65194,19.44778,19.7236,25.8005,11.09594,-25.21889
190.,19.33233,19.63081,19.41663,19.70628,26.08233,10.68213,-25.23127
200.,19.2973,19.60957,19.38549,19.68885,26.36025,10.27561,-25.24372
210.,19.26235,19.58824,19.35439,19.6713,26.63431,9.87622,-25.25626
220.,19.22749,19.56683,19.32334,19.65366,26.90456,9.483801,-25.26886
230.,19.19273,19.54535,19.29233,19.63593,27.17105,9.098208,-25.28153
240.,19.15808,19.52381,19.26138,19.61811,27.43381,8.719296,-25.29425
250.,19.12354,19.50221,19.2305,19.60023,27.6929,8.346924,-25.30702
260.,19.08911,19.48056,19.19969,19.58228,27.94837,7.980956,-25.31984
270.,19.0548,19.45888,19.16895,19.56427,28.20026,7.621258,-25.3327
280.,19.02063,19.43716,19.13831,19.54621,28.44861,7.2677,-25.3456
290.,18.98659,19.41543,19.10775,19.52811,28.69348,6.920156,-25.35852
300.,18.95268,19.39367,19.07728,19.50997,28.93489,6.578502,-25.37147
310.,18.91892,19.3719,19.04692,19.49181,29.17291,6.242618,-25.38444
320.,18.8853,19.35013,19.01666,19.47362,29.40756,5.912388,-25.39742
330.,18.85184,19.32836,18.98651,19.45541,29.63889,5.587697,-25.41042
