Times,MAIN_PNL_PX.1,MAIN_PNL_MX.1,MAIN_PNL_PY.1,MAIN_PNL_MY.1,MAIN_PNL_PZ.1,MAIN_PNL_MZ.1,MAIN_PNL_MY.20001
0.,20.,20.,20.,20.,20.,20.,20.
10.,20.00203,20.00174,20.00161,20.00085,20.35842,19.71333,22.32485
20.,20.0041,20.00352,20.00278,20.00205,20.71272,19.43137,22.99813
30.,20.00621,20.00533,20.00352,20.00366,21.06292,19.15402,23.67036
40.,20.00836,20.00717,20.00384,20.00568,21.40908,18.88117,24.33822
50.,20.01057,20.00906,20.00375,20.00811,21.75123,18.61273,25.00179
60.,20.01282,20.011,20.00327,20.01095,22.08941,18.34858,25.66112
70.,20.01514,20.01299,20.00238,20.0142,22.42366,18.08865,26.31628
80.,20.01752,20.01503,20.00112,20.01786,22.75401,17.83282,26.96732
90.,20.01996,20.01713,19.99948,20.02193,23.0805,17.58102,27.61432
100.,20.02246,20.01929,19.99748,20.0264,23.40318,17.33314,28.25734
110.,20.02504,20.02151,19.99511,20.03127,23.72207,17.08911,28.89642
120.,20.02768,20.0238,19.9924,20.03655,24.03721,16.84885,29.53162
130.,20.0304,20.02615,19.98934,20.04223,24.34865,16.61226,30.16301
140.,20.03319,20.02858,19.98594,20.0483,24.65642,16.37926,30.79064
150.,20.03606,20.03107,19.98221,20.05477,24.96055,16.14979,31.41454
160.,20.03901,20.03364,19.97816,20.06164,25.26108,15.92375,32.03479
170.,20.04203,20.03628,19.97379,20.06889,25.55805,15.70108,32.65143
180.,20.04514,20.039,19.96911,20.07654,25.85149,15.48171,33.26451
190.,20.04832,20.0418,19.96412,20.08456,26.14144,15.26555,33.87407
200.,20.05159,20.04468,19.95883,20.09298,26.42793,15.05255,34.48016
210.,20.05494,20.04763,19.95325,20.10177,26.711,14.84262,35.08284
220.,20.05838,20.05066,19.94738,20.11094,26.99069,14.63572,35.68214
230.,20.0619,20.05378,19.94122,20.12048,27.26702,14.43176,36.2781
240.,20.0655,20.05697,19.93477,20.13039,27.54004,14.23069,36.87078
250.,20.06919,20.06024,19.92806,20.14067,27.80977,14.03245,37.46021
260.,20.07296,20.0636,19.92107,20.15131,28.07626,13.83697,38.04643
270.,20.07681,20.06703,19.91381,20.16231,28.33952,13.64419,38.62949
280.,20.08075,20.07055,19.90629,20.17367,28.59961,13.45407,39.20943
290.,20.08477,20.07415,19.89851,20.18538,28.85655,13.26653,39.78627
300.,20.08887,20.07783,19.89047,20.19744,29.11037,13.08152,40.36007
310.,20.09306,20.08158,19.88218,20.20985,29.36111,12.899,40.93085
320.,20.09732,20.08542,19.87364,20.22259,29.60879,12.7189,41.49866
330.,20.10167,20.08934,19.86485,20.23567,29.85346,12.54118,42.06352
340.,20.10609,20.09333,19.85582,20.24909,30.09514,12.36578,42.62548
350.,20.1106,20.0974,19.84655,20.26284,30.33387,12.19266,43.18458
360.,20.11518,20.10155,19.83704,20.2769,30.56968,12.02176,43.74083
370.,20.11984,20.10577,19.8273,20.2913,30.80259,11.85304,44.29428
380.,20.12458,20.11007,19.81733,20.306,31.03264,11.68646,44.84495
390.,20.12939,20.11444,19.80713,20.32102,31.25986,11.52196,45.39289
400.,20.13427,20.11888,19.79669,20.33635,31.48429,11.3595,45.93811
410.,20.13923,20.12339,19.78604,20.35199,31.70594,11.19905,46.48066
420.,20.14425,20.12798,19.77516,20.36792,31.92485,11.04055,47.02056
